accumulate,concept,generate,partner,status
accurate,consistent,hypothesis,perspective,substitute
achieve,context,impact,persuade,sustain
acknowledge,contradict,imply,pose,symbol
adequate,cooperate,incident,precise,target
adjust,coordinate,influence,previous,technique
analysis,data,information,primary,technology
analyze,debate,injure,prior,temporary
annual,design,inspect,pursue,theory
appreciate,despite,instance,quote,topic
approximate,determine,interact,react,tradition
aspect,difficult,interpret,reaction,transfer
assess,discuss,interpretation,regulate,transform
assessment,document,item,reject,transport
assign,dynamic,justify,release,unite
assume,emerge,legal,rely,valid
attach,emphasis,license,research,variable
awhile,estimate,link,reside,variety
classic,evaluate,manipulate,resolve,
coincide,evidence,mature,resource,
comment,examine,medium,response,
communicate,expand,mention,retain,
compile,expert,minor,revise,
complement,factor,modify,scheme,
compliment,focus,normal,sequence,
comprehend,format,obtain,solution,
concentrate,foundation,offset,specific,
